plate,raw,col,time,OD
2,A,1,0,0.141
2,A,1,20,0.136
2,A,1,60,0.266
2,A,1,120,0.434
2,A,1,180,0.566
2,A,1,240,0.71
2,A,1,360,0.907
2,A,1,1440,1.532
2,A,1,1800,1.634
2,A,2,0,0.14
2,A,2,20,0.083
2,A,2,60,0.086
2,A,2,120,0.083
2,A,2,180,0.081
2,A,2,240,0.085
2,A,2,360,0.087
2,A,2,1440,0.083
2,A,2,1800,0.087
2,A,3,0,0.133
2,A,3,20,0.17
2,A,3,60,0.344
2,A,3,120,0.553
2,A,3,180,0.716
2,A,3,240,0.845
2,A,3,360,1.069
2,A,3,1440,1.716
2,A,3,1800,1.809
2,A,4,0,0.134
2,A,4,20,0.082
2,A,4,60,0.081
2,A,4,120,0.084
2,A,4,180,0.082
2,A,4,240,0.078
2,A,4,360,0.087
2,A,4,1440,0.09
2,A,4,1800,0.083
2,A,5,0,0.107
2,A,5,20,0.164
2,A,5,60,0.339
2,A,5,120,0.572
2,A,5,180,0.696
2,A,5,240,0.807
2,A,5,360,1.116
2,A,5,1440,1.708
2,A,5,1800,1.761
2,A,6,0,0.102
2,A,6,20,0.084
2,A,6,60,0.082
2,A,6,120,0.084
2,A,6,180,0.084
2,A,6,240,0.082
2,A,6,360,0.085
2,A,6,1440,0.079
2,A,6,1800,0.082
2,A,7,0,0.14
2,A,7,20,0.182
2,A,7,60,0.334
2,A,7,120,0.518
2,A,7,180,0.665
2,A,7,240,0.762
2,A,7,360,0.991
2,A,7,1440,1.528
2,A,7,1800,1.72
2,A,8,0,0.134
2,A,8,20,0.084
2,A,8,60,0.088
2,A,8,120,0.083
2,A,8,180,0.085
2,A,8,240,0.084
2,A,8,360,0.087
2,A,8,1440,0.085
2,A,8,1800,0.09
2,A,9,0,0.126
2,A,9,20,0.149
2,A,9,60,0.29
2,A,9,120,0.473
2,A,9,180,0.65
2,A,9,240,0.739
2,A,9,360,1.031
2,A,9,1440,1.569
2,A,9,1800,1.715
2,A,10,0,0.126
2,A,10,20,0.08
2,A,10,60,0.085
2,A,10,120,0.076
2,A,10,180,0.083
2,A,10,240,0.079
2,A,10,360,0.085
2,A,10,1440,0.084
2,A,10,1800,0.083
2,A,11,0,0.146
2,A,11,20,0.185
2,A,11,60,0.359
2,A,11,120,0.544
2,A,11,180,0.727
2,A,11,240,0.807
2,A,11,360,1.04
2,A,11,1440,1.638
2,A,11,1800,1.745
2,A,12,0,0.126
2,A,12,20,0.085
2,A,12,60,0.083
2,A,12,120,0.078
2,A,12,180,0.082
2,A,12,240,0.077
2,A,12,360,0.077
2,A,12,1440,0.084
2,A,12,1800,0.089
2,B,1,0,0.139
2,B,1,20,0.182
2,B,1,60,0.348
2,B,1,120,0.527
2,B,1,180,0.635
2,B,1,240,0.786
2,B,1,360,1.034
2,B,1,1440,1.617
2,B,1,1800,1.742
2,B,2,0,0.127
2,B,2,20,0.098
2,B,2,60,0.087
2,B,2,120,0.079
2,B,2,180,0.082
2,B,2,240,0.085
2,B,2,360,0.088
2,B,2,1440,0.087
2,B,2,1800,0.089
2,B,3,0,0.135
2,B,3,20,0.166
2,B,3,60,0.352
2,B,3,120,0.584
2,B,3,180,0.777
2,B,3,240,0.933
2,B,3,360,1.145
2,B,3,1440,1.615
2,B,3,1800,1.73
2,B,4,0,0.121
2,B,4,20,0.079
2,B,4,60,0.082
2,B,4,120,0.084
2,B,4,180,0.082
2,B,4,240,0.08
2,B,4,360,0.086
2,B,4,1440,0.083
2,B,4,1800,0.087
2,B,5,0,0.141
2,B,5,20,0.178
2,B,5,60,0.344
2,B,5,120,0.577
2,B,5,180,0.695
2,B,5,240,0.778
2,B,5,360,1.081
2,B,5,1440,1.567
2,B,5,1800,1.589
2,B,6,0,0.132
2,B,6,20,0.081
2,B,6,60,0.084
2,B,6,120,0.082
2,B,6,180,0.083
2,B,6,240,0.078
2,B,6,360,0.086
2,B,6,1440,0.077
2,B,6,1800,0.084
2,B,7,0,0.138
2,B,7,20,0.172
2,B,7,60,0.339
2,B,7,120,0.53
2,B,7,180,0.725
2,B,7,240,0.792
2,B,7,360,1.137
2,B,7,1440,1.524
2,B,7,1800,1.685
2,B,8,0,0.131
2,B,8,20,0.084
2,B,8,60,0.085
2,B,8,120,0.081
2,B,8,180,0.085
2,B,8,240,0.083
2,B,8,360,0.088
2,B,8,1440,0.083
2,B,8,1800,0.086
2,B,9,0,0.129
2,B,9,20,0.173
2,B,9,60,0.334
2,B,9,120,0.523
2,B,9,180,0.659
2,B,9,240,0.824
2,B,9,360,1.109
2,B,9,1440,1.723
