plate,raw,col,time,OD
6,A,1,0,0.106
6,A,1,20,0.189
6,A,1,60,0.397
6,A,1,120,0.595
6,A,1,180,0.727
6,A,1,240,0.858
6,A,1,360,1.034
6,A,1,1440,1.527
6,A,1,1800,1.589
6,A,2,0,0.096
6,A,2,20,0.088
6,A,2,60,0.087
6,A,2,120,0.087
6,A,2,180,0.088
6,A,2,240,0.087
6,A,2,360,0.089
6,A,2,1440,0.09
6,A,2,1800,0.081
6,A,3,0,0.102
6,A,3,20,0.141
6,A,3,60,0.278
6,A,3,120,0.473
6,A,3,180,0.62
6,A,3,240,0.773
6,A,3,360,1
6,A,3,1440,1.509
6,A,3,1800,1.629
6,A,4,0,0.098
6,A,4,20,0.088
6,A,4,60,0.089
6,A,4,120,0.087
6,A,4,180,0.087
6,A,4,240,0.087
6,A,4,360,0.085
6,A,4,1440,0.089
6,A,4,1800,0.089
6,A,5,0,0.104
6,A,5,20,0.175
6,A,5,60,0.346
6,A,5,120,0.599
6,A,5,180,0.739
6,A,5,240,NA
6,A,5,360,1.02
6,A,5,1440,1.553
6,A,5,1800,1.6
6,A,6,0,0.1
6,A,6,20,0.087
6,A,6,60,0.088
6,A,6,120,0.087
6,A,6,180,0.086
6,A,6,240,NA
6,A,6,360,0.089
6,A,6,1440,0.089
6,A,6,1800,0.091
6,A,7,0,0.107
6,A,7,20,0.177
6,A,7,60,0.335
6,A,7,120,0.54
6,A,7,180,0.67
6,A,7,240,0.818
6,A,7,360,1.004
6,A,7,1440,1.572
6,A,7,1800,1.6
6,A,8,0,0.098
6,A,8,20,0.084
6,A,8,60,0.087
6,A,8,120,0.087
6,A,8,180,0.087
6,A,8,240,0.082
6,A,8,360,0.09
6,A,8,1440,0.088
6,A,8,1800,0.09
6,A,9,0,0.094
6,A,9,20,0.161
6,A,9,60,0.471
6,A,9,120,0.887
6,A,9,180,1.142
6,A,9,240,1.395
6,A,9,360,1.635
6,A,9,1440,1.868
6,A,9,1800,NA
6,A,10,0,0.086
6,A,10,20,0.088
6,A,10,60,0.087
6,A,10,120,0.09
6,A,10,180,0.086
6,A,10,240,0.086
6,A,10,360,0.095
