plate,raw,col,time,OD
3,A,1,0,0.147
3,A,1,20,0.169
3,A,1,60,0.33
3,A,1,120,0.552
3,A,1,180,0.703
3,A,1,240,0.829
3,A,1,360,1.0710083333333333
3,A,1,1440,1.603
3,A,1,1800,1.729
3,A,2,0,0.158
3,A,2,20,0.088
3,A,2,60,0.088
3,A,2,120,0.083
3,A,2,180,0.085
3,A,2,240,0.094
3,A,2,360,0.097
3,A,2,1440,0.094
3,A,2,1800,0.099
3,A,3,0,0.118
3,A,3,20,0.133
3,A,3,60,0.269
3,A,3,120,0.438
3,A,3,180,0.592
3,A,3,240,0.741
3,A,3,360,0.97265
3,A,3,1440,1.512
3,A,3,1800,1.693
3,A,4,0,0.136
3,A,4,20,0.081
3,A,4,60,0.085
3,A,4,120,0.084
3,A,4,180,0.087
3,A,4,240,0.088
3,A,4,360,0.091
3,A,4,1440,0.086
3,A,4,1800,0.089
3,A,5,0,0.137
3,A,5,20,0.168
3,A,5,60,0.34
3,A,5,120,0.507
3,A,5,180,0.712
3,A,5,240,0.86
3,A,5,360,1.1387333333333332
3,A,5,1440,1.653
3,A,5,1800,1.821
3,A,6,0,0.136
3,A,6,20,0.081
3,A,6,60,0.085
3,A,6,120,0.083
3,A,6,180,0.084
3,A,6,240,0.08
3,A,6,360,0.092
3,A,6,1440,0.085
3,A,6,1800,0.086
3,A,7,0,0.11
3,A,7,20,0.117
3,A,7,60,0.251
3,A,7,120,0.444
3,A,7,180,0.624
3,A,7,240,0.788
3,A,7,360,1.095925
3,A,7,1440,1.563
3,A,7,1800,1.712
3,A,8,0,0.098
3,A,8,20,0.091
3,A,8,60,0.086
3,A,8,120,0.084
3,A,8,180,0.084
3,A,8,240,0.082
3,A,8,360,0.089
3,A,8,1440,0.082
3,A,8,1800,0.086
3,A,9,0,0.13
3,A,9,20,0.196
3,A,9,60,0.357
3,A,9,120,0.519
3,A,9,180,0.71
3,A,9,240,0.87
3,A,9,360,1.144025
3,A,9,1440,1.648
3,A,9,1800,1.761
3,A,10,0,0.11
3,A,10,20,0.082
3,A,10,60,0.085
3,A,10,120,0.086
3,A,10,180,0.082
3,A,10,240,0.081
3,A,10,360,0.087
3,A,10,1440,0.085
3,A,10,1800,0.087
3,A,11,0,0.1
3,A,11,20,0.148
3,A,11,60,0.406
3,A,11,120,0.831
3,A,11,180,1.172
3,A,11,240,1.354
3,A,11,360,1.6958250000000001
3,A,11,1440,1.946
3,A,11,1800,2.079
3,A,12,0,0.09
3,A,12,20,0.082
3,A,12,60,0.088
3,A,12,120,0.091
3,A,12,180,0.09
3,A,12,240,0.086
3,A,12,360,0.101
3,A,12,1440,0.1
3,A,12,1800,0.108
3,B,1,0,0.163
3,B,1,20,0.183
3,B,1,60,0.355
3,B,1,120,0.567
3,B,1,180,0.671
3,B,1,240,0.869
3,B,1,360,1.024375
3,B,1,1440,1.554
3,B,1,1800,1.7
3,B,2,0,0.122
3,B,2,20,0.085
3,B,2,60,0.087
3,B,2,120,0.083
3,B,2,180,0.09
3,B,2,240,0.091
3,B,2,360,0.09
3,B,2,1440,0.089
3,B,2,1800,0.091
3,B,3,0,0.149
3,B,3,20,0.164
3,B,3,60,0.337
3,B,3,120,0.544
3,B,3,180,0.729
3,B,3,240,0.902
3,B,3,360,1.1515416666666667
3,B,3,1440,1.407
3,B,3,1800,1.662
3,B,4,0,0.135
3,B,4,20,0.082
3,B,4,60,0.086
3,B,4,120,0.079
3,B,4,180,0.089
3,B,4,240,0.082
3,B,4,360,0.085
3,B,4,1440,0.084
3,B,4,1800,0.087
3,B,5,0,0.155
3,B,5,20,0.152
3,B,5,60,0.317
3,B,5,120,0.499
3,B,5,180,0.698
3,B,5,240,0.828
3,B,5,360,1.0775416666666666
3,B,5,1440,1.544
3,B,5,1800,1.66
3,B,6,0,0.149
3,B,6,20,0.078
3,B,6,60,0.089
3,B,6,120,0.079
3,B,6,180,0.082
3,B,6,240,0.081
3,B,6,360,0.086
3,B,6,1440,0.081
3,B,6,1800,0.085
3,B,7,0,0.133
3,B,7,20,0.18
3,B,7,60,0.34
3,B,7,120,0.544
3,B,7,180,0.66
3,B,7,240,0.799
3,B,7,360,1.0805583333333335
3,B,7,1440,1.5
3,B,7,1800,1.622
3,B,8,0,0.112
3,B,8,20,0.089
3,B,8,60,0.086
3,B,8,120,0.088
3,B,8,180,0.086
3,B,8,240,0.084
3,B,8,360,0.093
3,B,8,1440,0.089
3,B,8,1800,0.09
3,B,9,0,0.122
3,B,9,20,0.14
3,B,9,60,0.267
3,B,9,120,0.462
3,B,9,180,0.658
3,B,9,240,0.823
3,B,9,360,1.1281
3,B,9,1440,1.541
3,B,9,1800,1.639
3,B,10,0,0.132
3,B,10,20,0.084
3,B,10,60,0.088
3,B,10,120,0.089
3,B,10,180,0.086
3,B,10,240,0.087
3,B,10,360,0.099
3,B,10,1440,0.086
3,B,10,1800,0.088
3,B,11,0,0.135
3,B,11,20,0.16
3,B,11,60,0.323
3,B,11,120,0.504
3,B,11,180,0.68
3,B,11,240,0.807
3,B,11,360,1.14035
3,B,11,1440,1.639
3,B,11,1800,1.729
3,B,12,0,0.116
3,B,12,20,0.08
3,B,12,60,0.084
3,B,12,120,0.082
3,B,12,180,0.083
3,B,12,240,0.083
3,B,12,360,0.088
3,B,12,1440,0.084
3,B,12,1800,0.087
3,C,1,0,0.157
3,C,1,20,0.183
3,C,1,60,0.372
3,C,1,120,0.583
3,C,1,180,0.75
3,C,1,240,0.841
3,C,1,360,1.1235
3,C,1,1440,1.577
3,C,1,1800,1.697
3,C,2,0,0.119
3,C,2,20,0.081
3,C,2,60,0.087
3,C,2,120,0.082
3,C,2,180,0.087
3,C,2,240,0.087
3,C,2,360,0.087
3,C,2,1440,0.084
3,C,2,1800,0.088
3,C,3,0,0.113
3,C,3,20,0.129
3,C,3,60,0.267
3,C,3,120,0.461
3,C,3,180,0.616
3,C,3,240,0.73
3,C,3,360,1.083125
3,C,3,1440,1.494
3,C,3,1800,1.593
3,C,4,0,0.119
3,C,4,20,0.088
3,C,4,60,0.087
3,C,4,120,0.082
3,C,4,180,0.084
3,C,4,240,0.083
3,C,4,360,0.087
3,C,4,1440,0.089
3,C,4,1800,0.093
3,C,5,0,0.133
3,C,5,20,0.179
3,C,5,60,0.348
3,C,5,120,0.51
3,C,5,180,0.764
3,C,5,240,0.901
3,C,5,360,1.2437666666666667
3,C,5,1440,1.617
3,C,5,1800,1.731
3,C,6,0,0.113
3,C,6,20,0.086
3,C,6,60,0.087
3,C,6,120,0.087
3,C,6,180,0.089
3,C,6,240,0.086
3,C,6,360,0.089
3,C,6,1440,0.089
3,C,6,1800,0.09
3,C,7,0,0.083
3,C,7,20,0.086
3,C,7,60,0.091
3,C,7,120,0.089
3,C,7,180,0.088
3,C,7,240,0.084
3,C,7,360,0.08776666666666666
3,C,7,1440,0.088
3,C,7,1800,0.085
3,C,8,0,0.086
3,C,8,20,0.083
3,C,8,60,0.087
3,C,8,120,0.08
3,C,8,180,0.087
3,C,8,240,0.085
3,C,8,360,0.088
3,C,8,1440,0.084
3,C,8,1800,0.085
3,C,9,0,0.14
3,C,9,20,0.16
3,C,9,60,0.332
3,C,9,120,0.545
3,C,9,180,0.74
3,C,9,240,0.922
3,C,9,360,1.2139166666666668
3,C,9,1440,1.604
3,C,9,1800,1.676
3,C,10,0,0.131
3,C,10,20,0.086
3,C,10,60,0.09
3,C,10,120,0.089
3,C,10,180,0.084
3,C,10,240,0.085
3,C,10,360,0.098
3,C,10,1440,0.087
3,C,10,1800,0.09
3,C,11,0,0.123
3,C,11,20,0.178
3,C,11,60,0.334
3,C,11,120,0.515
3,C,11,180,0.709
3,C,11,240,0.95
3,C,11,360,1.1844750000000002
3,C,11,1440,1.602
3,C,11,1800,1.674
3,C,12,0,0.121
3,C,12,20,0.083
3,C,12,60,0.088
3,C,12,120,0.083
3,C,12,180,0.086
3,C,12,240,0.087
3,C,12,360,0.092
3,C,12,1440,0.085
3,C,12,1800,0.088
3,D,1,0,0.159
3,D,1,20,0.129
3,D,1,60,0.269
3,D,1,120,0.502
3,D,1,180,0.697
3,D,1,240,0.821
3,D,1,360,1.1665916666666667
3,D,1,1440,1.65
3,D,1,1800,1.771
3,D,2,0,0.128
3,D,2,20,0.082
3,D,2,60,0.086
3,D,2,120,0.082
3,D,2,180,0.089
3,D,2,240,0.085
3,D,2,360,0.083
3,D,2,1440,0.081
3,D,2,1800,0.085
3,D,3,0,0.123
3,D,3,20,0.17
3,D,3,60,0.354
3,D,3,120,0.547
3,D,3,180,0.703
3,D,3,240,0.846
3,D,3,360,1.120025
3,D,3,1440,1.581
3,D,3,1800,1.67
3,D,4,0,0.122
3,D,4,20,0.082
3,D,4,60,0.085
3,D,4,120,0.086
3,D,4,180,0.09
3,D,4,240,0.084
3,D,4,360,0.092
3,D,4,1440,0.086
3,D,4,1800,0.088
3,D,5,0,0.128
3,D,5,20,0.176
3,D,5,60,0.361
3,D,5,120,0.556
3,D,5,180,0.744
3,D,5,240,0.886
3,D,5,360,1.1364833333333333
3,D,5,1440,1.542
3,D,5,1800,1.69
3,D,6,0,0.123
3,D,6,20,0.084
3,D,6,60,0.088
3,D,6,120,0.086
3,D,6,180,0.101
3,D,6,240,0.086
3,D,6,360,0.085
3,D,6,1440,0.101
3,D,6,1800,0.087
3,D,7,0,0.123
3,D,7,20,0.176
3,D,7,60,0.381
3,D,7,120,0.602
3,D,7,180,0.782
3,D,7,240,0.943
3,D,7,360,1.1190916666666666
3,D,7,1440,1.575
3,D,7,1800,1.687
3,D,8,0,0.124
3,D,8,20,0.08
3,D,8,60,0.091
