plate,raw,col,time,OD
4,A,1,0,0.087
1,A,1,20,0.148
1,A,1,60,0.297
1,A,1,120,0.492
1,A,1,180,0.672
1,A,1,240,0.797
1,A,1,360,1.067
1,A,1,1440,1.536
1,A,1,1800,1.694
4,A,2,0,0.084
1,A,2,20,0.083
1,A,2,60,0.085
1,A,2,120,0.082
1,A,2,180,0.085
1,A,2,240,0.082
1,A,2,360,0.087
1,A,2,1440,0.082
1,A,2,1800,0.088
4,A,3,0,0.088
1,A,3,20,0.193
1,A,3,60,0.302
1,A,3,120,0.505
1,A,3,180,0.694
1,A,3,240,0.79
1,A,3,360,1.017
1,A,3,1440,1.511
1,A,3,1800,1.629
4,A,4,0,0.086
1,A,4,20,0.08
1,A,4,60,0.09
1,A,4,120,0.081
1,A,4,180,0.089
1,A,4,240,0.083
1,A,4,360,0.085
1,A,4,1440,0.083
1,A,4,1800,0.088
4,A,5,0,0.092
1,A,5,20,0.163
1,A,5,60,0.327
1,A,5,120,0.524
1,A,5,180,0.713
1,A,5,240,0.852
1,A,5,360,1.021
1,A,5,1440,1.531
1,A,5,1800,1.647
4,A,6,0,0.085
1,A,6,20,0.081
1,A,6,60,0.086
1,A,6,120,0.086
1,A,6,180,0.085
1,A,6,240,0.087
1,A,6,360,0.083
1,A,6,1440,0.085
1,A,6,1800,0.088
4,A,7,0,0.091
1,A,7,20,0.176
1,A,7,60,0.339
1,A,7,120,0.542
1,A,7,180,0.717
1,A,7,240,0.886
1,A,7,360,1.094
1,A,7,1440,1.528
1,A,7,1800,1.724
4,A,8,0,0.091
1,A,8,20,0.084
1,A,8,60,0.088
1,A,8,120,0.086
1,A,8,180,0.087
1,A,8,240,0.086
1,A,8,360,0.089
1,A,8,1440,0.085
1,A,8,1800,0.087
4,A,9,0,0.095
1,A,9,20,0.192
1,A,9,60,0.422
1,A,9,120,0.621
1,A,9,180,0.809
1,A,9,240,0.927
1,A,9,360,1.214
1,A,9,1440,1.637
1,A,9,1800,1.71
4,A,10,0,0.093
1,A,10,20,0.085
1,A,10,60,0.084
1,A,10,120,0.087
1,A,10,180,0.085
1,A,10,240,0.085
1,A,10,360,0.085
1,A,10,1440,0.087
1,A,10,1800,0.084
4,A,11,0,0.092
1,A,11,20,0.159
1,A,11,60,0.316
1,A,11,120,0.503
1,A,11,180,0.653
1,A,11,240,0.819
1,A,11,360,1.028
1,A,11,1440,1.518
1,A,11,1800,1.645
4,A,12,0,0.088
1,A,12,20,0.08
1,A,12,60,0.077
1,A,12,120,0.082
1,A,12,180,0.078
1,A,12,240,0.079
1,A,12,360,0.081
1,A,12,1440,0.081
1,A,12,1800,0.078
4,B,1,0,0.088
1,B,1,20,0.161
1,B,1,60,0.327
1,B,1,120,0.507
1,B,1,180,0.696
1,B,1,240,0.781
1,B,1,360,1.089
1,B,1,1440,1.495
1,B,1,1800,1.737
4,B,2,0,0.084
1,B,2,20,0.083
1,B,2,60,0.086
1,B,2,120,0.082
1,B,2,180,0.086
1,B,2,240,0.081
1,B,2,360,0.084
1,B,2,1440,0.082
1,B,2,1800,0.087
4,B,3,0,0.085
1,B,3,20,0.088
1,B,3,60,0.087
1,B,3,120,0.084
1,B,3,180,0.085
1,B,3,240,0.083
1,B,3,360,0.085
1,B,3,1440,0.086
1,B,3,1800,0.087
4,B,4,0,0.084
1,B,4,20,0.082
1,B,4,60,0.083
1,B,4,120,0.082
1,B,4,180,0.085
1,B,4,240,0.083
1,B,4,360,0.085
1,B,4,1440,0.086
1,B,4,1800,0.089
4,B,5,0,0.098
1,B,5,20,0.214
1,B,5,60,0.411
1,B,5,120,0.634
1,B,5,180,0.759
1,B,5,240,0.881
1,B,5,360,0.976
1,B,5,1440,1.233
1,B,5,1800,1.352
4,B,6,0,0.091
1,B,6,20,0.082
1,B,6,60,0.086
1,B,6,120,0.085
1,B,6,180,0.085
1,B,6,240,0.097
1,B,6,360,0.083
1,B,6,1440,0.098
1,B,6,1800,0.111
4,B,7,0,0.091
1,B,7,20,0.215
