Plate,Row,ColPair,Column,Sample,WellGroup,WellGroupType,Time
1,B,2,3,4,B_2,Test sample,180
1,B,2,3,4,B_2,Test sample,240
1,B,2,3,4,B_2,Test sample,360
1,B,2,3,4,B_2,Test sample,1440
1,B,2,3,4,B_2,Test sample,1800
1,B,2,4,4,B_2,Test sample,0
1,B,2,4,4,B_2,Test sample,20
1,B,2,4,4,B_2,Test sample,60
1,B,2,4,4,B_2,Test sample,120
1,B,2,4,4,B_2,Test sample,180
1,B,2,4,4,B_2,Test sample,240
1,B,2,4,4,B_2,Test sample,360
1,B,2,4,4,B_2,Test sample,1440
1,B,2,4,4,B_2,Test sample,1800
1,B,3,5,C-,B_3,Control-,0
1,B,3,5,C-,B_3,Control-,20
1,B,3,5,C-,B_3,Control-,60
1,B,3,5,C-,B_3,Control-,120
1,B,3,5,C-,B_3,Control-,180
1,B,3,5,C-,B_3,Control-,240
1,B,3,5,C-,B_3,Control-,360
1,B,3,5,C-,B_3,Control-,1440
1,B,3,5,C-,B_3,Control-,1800
1,B,3,6,C-,B_3,Control-,0
1,B,3,6,C-,B_3,Control-,20
1,B,3,6,C-,B_3,Control-,60
1,B,3,6,C-,B_3,Control-,120
1,B,3,6,C-,B_3,Control-,180
1,B,3,6,C-,B_3,Control-,240
1,B,3,6,C-,B_3,Control-,360
1,B,3,6,C-,B_3,Control-,1440
1,B,3,6,C-,B_3,Control-,1800
1,B,4,7,82,B_4,Test sample,0
1,B,4,7,82,B_4,Test sample,20
1,B,4,7,82,B_4,Test sample,60
1,B,4,7,82,B_4,Test sample,120
1,B,4,7,82,B_4,Test sample,180
1,B,4,7,82,B_4,Test sample,240
1,B,4,7,82,B_4,Test sample,360
1,B,4,7,82,B_4,Test sample,1440
1,B,4,7,82,B_4,Test sample,1800
1,B,4,8,82,B_4,Test sample,0
1,B,4,8,82,B_4,Test sample,20
1,B,4,8,82,B_4,Test sample,60
1,B,4,8,82,B_4,Test sample,120
1,B,4,8,82,B_4,Test sample,180
1,B,4,8,82,B_4,Test sample,240
1,B,4,8,82,B_4,Test sample,360
1,B,4,8,82,B_4,Test sample,1440
1,B,4,8,82,B_4,Test sample,1800
1,B,5,9,149,B_5,Test sample,0
1,B,5,9,149,B_5,Test sample,20
1,B,5,9,149,B_5,Test sample,60
1,B,5,9,149,B_5,Test sample,120
1,B,5,9,149,B_5,Test sample,180
1,B,5,9,149,B_5,Test sample,240
1,B,5,9,149,B_5,Test sample,360
1,B,5,9,149,B_5,Test sample,1440
1,B,5,9,149,B_5,Test sample,1800
1,B,5,10,149,B_5,Test sample,0
1,B,5,10,149,B_5,Test sample,20
1,B,5,10,149,B_5,Test sample,60
1,B,5,10,149,B_5,Test sample,120
1,B,5,10,149,B_5,Test sample,180
1,B,5,10,149,B_5,Test sample,240
1,B,5,10,149,B_5,Test sample,360
1,B,5,10,149,B_5,Test sample,1440
1,B,5,10,149,B_5,Test sample,1800
1,B,6,11,189,B_6,Test sample,0
1,B,6,11,189,B_6,Test sample,20
1,B,6,11,189,B_6,Test sample,60
1,B,6,11,189,B_6,Test sample,120
1,B,6,11,189,B_6,Test sample,180
1,B,6,11,189,B_6,Test sample,240
1,B,6,11,189,B_6,Test sample,360
1,B,6,11,189,B_6,Test sample,1440
1,B,6,11,189,B_6,Test sample,1800
1,B,6,12,189,B_6,Test sample,0
1,B,6,12,189,B_6,Test sample,20
1,B,6,12,189,B_6,Test sample,60
1,B,6,12,189,B_6,Test sample,120
1,B,6,12,189,B_6,Test sample,180
1,B,6,12,189,B_6,Test sample,240
1,B,6,12,189,B_6,Test sample,360
1,B,6,12,189,B_6,Test sample,1440
1,B,6,12,189,B_6,Test sample,1800
1,C,1,1,105,C_1,Test sample,0
1,C,1,1,105,C_1,Test sample,20
1,C,1,1,105,C_1,Test sample,60
1,C,1,1,105,C_1,Test sample,120
1,C,1,1,105,C_1,Test sample,180
1,C,1,1,105,C_1,Test sample,240
1,C,1,1,105,C_1,Test sample,360
1,C,1,1,105,C_1,Test sample,1440
1,C,1,1,105,C_1,Test sample,1800
1,C,1,2,105,C_1,Test sample,0
1,C,1,2,105,C_1,Test sample,20
1,C,1,2,105,C_1,Test sample,60
1,C,1,2,105,C_1,Test sample,120
1,C,1,2,105,C_1,Test sample,180
1,C,1,2,105,C_1,Test sample,240
1,C,1,2,105,C_1,Test sample,360
1,C,1,2,105,C_1,Test sample,1440
1,C,1,2,105,C_1,Test sample,1800
1,C,2,3,7,C_2,Test sample,0
1,C,2,3,7,C_2,Test sample,20
1,C,2,3,7,C_2,Test sample,60
1,C,2,3,7,C_2,Test sample,120
1,C,2,3,7,C_2,Test sample,180
1,C,2,3,7,C_2,Test sample,240
1,C,2,3,7,C_2,Test sample,360
1,C,2,3,7,C_2,Test sample,1440
1,C,2,3,7,C_2,Test sample,1800
1,C,2,4,7,C_2,Test sample,0
1,C,2,4,7,C_2,Test sample,20
1,C,2,4,7,C_2,Test sample,60
1,C,2,4,7,C_2,Test sample,120
1,C,2,4,7,C_2,Test sample,180
1,C,2,4,7,C_2,Test sample,240
1,C,2,4,7,C_2,Test sample,360
1,C,2,4,7,C_2,Test sample,1440
1,C,2,4,7,C_2,Test sample,1800
1,C,3,5,148,C_3,Test sample,0
1,C,3,5,148,C_3,Test sample,20
1,C,3,5,148,C_3,Test sample,60
1,C,3,5,148,C_3,Test sample,120
1,C,3,5,148,C_3,Test sample,180
1,C,3,5,148,C_3,Test sample,240
1,C,3,5,148,C_3,Test sample,360
1,C,3,5,148,C_3,Test sample,1440
1,C,3,5,148,C_3,Test sample,1800
1,C,3,6,148,C_3,Test sample,0
1,C,3,6,148,C_3,Test sample,20
1,C,3,6,148,C_3,Test sample,60
1,C,3,6,148,C_3,Test sample,120
1,C,3,6,148,C_3,Test sample,180
1,C,3,6,148,C_3,Test sample,240
1,C,3,6,148,C_3,Test sample,360
1,C,3,6,148,C_3,Test sample,1440
1,C,3,6,148,C_3,Test sample,1800
1,C,4,7,137,C_4,Test sample,0
1,C,4,7,137,C_4,Test sample,20
1,C,4,7,137,C_4,Test sample,60
1,C,4,7,137,C_4,Test sample,120
1,C,4,7,137,C_4,Test sample,180
1,C,4,7,137,C_4,Test sample,240
1,C,4,7,137,C_4,Test sample,360
1,C,4,7,137,C_4,Test sample,1440
1,C,4,7,137,C_4,Test sample,1800
1,C,4,8,137,C_4,Test sample,0
1,C,4,8,137,C_4,Test sample,20
1,C,4,8,137,C_4,Test sample,60
1,C,4,8,137,C_4,Test sample,120
1,C,4,8,137,C_4,Test sample,180
1,C,4,8,137,C_4,Test sample,240
1,C,4,8,137,C_4,Test sample,360
1,C,4,8,137,C_4,Test sample,1440
1,C,4,8,137,C_4,Test sample,1800
1,C,5,9,83,C_5,Test sample,0
1,C,5,9,83,C_5,Test sample,20
1,C,5,9,83,C_5,Test sample,60
1,C,5,9,83,C_5,Test sample,120
1,C,5,9,83,C_5,Test sample,180
