Plate,Row,ColPair,Col,Sample,ID,WellGroup,WellGroupType,Mass_sample,Time,OD_sample,Mass_blk,OD_blk,Slope,Mean_slope,C_sample,C_blk,C_spl_nor,C_blk_nor,mean_blk,C,Hydro_extent,Amylose_content,D1,D5,D9,h,k,Xinf,mean_Peak,mean_Trough,mean_Final,mean_PastingTemp
1,A,1,1,129,cav4081295,A_1,Test sample,9.5,0,0.142,9.3,0.132,0.184,0.1859,0.7638515330823022,0.7100591715976331,0.8040542453497919,0.7635044855888528,0.49478486847755737,0.3092693768722345,2.7834243918501107,26.729113201570527,2.1685,6.753,30.1415,0.11349910125271108,0.005506886439721682,74.60125449347524,237.58499999999998,119.42,242.54000000000002,50
1,A,1,1,129,cav4081295,A_1,Test sample,9.5,20,0.175,9.3,0.092,0.184,0.1859,0.9413663259817104,0.4948897256589564,0.990911922086011,0.5321394899558671,0.49478486847755737,0.4961270536084536,4.4651434824760825,26.729113201570527,2.1685,6.753,30.1415,0.11349910125271108,0.005506886439721682,74.60125449347524,237.58499999999998,119.42,242.54000000000002,50
1,A,1,1,129,cav4081295,A_1,Test sample,9.5,60,0.371,9.3,0.09,0.184,0.1859,1.9956966110812264,0.48413125336202256,2.1007332748223435,0.5205712401742177,0.49478486847755737,1.6059484063447862,14.453535657103075,26.729113201570527,2.1685,6.753,30.1415,0.11349910125271108,0.005506886439721682,74.60125449347524,237.58499999999998,119.42,242.54000000000002,50
1,A,1,1,129,cav4081295,A_1,Test sample,9.5,120,0.556,9.3,0.094,0.184,0.1859,2.9908552985476065,0.5056481979558902,3.1482687353132697,0.5437077397375163,0.49478486847755737,2.653483866835712,23.88135480152141,26.729113201570527,2.1685,6.753,30.1415,0.11349910125271108,0.005506886439721682,74.60125449347524,237.58499999999998,119.42,242.54000000000002,50
1,A,1,1,129,cav4081295,A_1,Test sample,9.5,180,0.684,9.3,0.095,0.184,0.1859,3.679397525551372,0.5110274341043571,3.8730500268961814,0.549491864628341,0.49478486847755737,3.378265158418624,30.404386425767616,26.729113201570527,2.1685,6.753,30.1415,0.11349910125271108,0.005506886439721682,74.60125449347524,237.58499999999998,119.42,242.54000000000002,50
1,A,1,1,129,cav4081295,A_1,Test sample,9.5,240,0.793,9.3,0.097,0.184,0.1859,4.265734265734266,0.521785906401291,4.4902465955097535,0.5610601144099903,0.49478486847755737,3.995461727032196,35.95915554328977,26.729113201570527,2.1685,6.753,30.1415,0.11349910125271108,0.005506886439721682,74.60125449347524,237.58499999999998,119.42,242.54000000000002,50
1,A,1,1,129,cav4081295,A_1,Test sample,9.5,360,0.977,9.3,0.099,0.184,0.1859,5.255513717052178,0.5325443786982248,5.532119702160188,0.5726283641916395,0.49478486847755737,5.03733483368263,45.336013503143676,26.729113201570527,2.1685,6.753,30.1415,0.11349910125271108,0.005506886439721682,74.60125449347524,237.58499999999998,119.42,242.54000000000002,50
1,A,1,1,129,cav4081295,A_1,Test sample,9.5,1440,1.39,9.3,0.099,0.1878,0.1859,7.477138246369015,0.5325443786982248,7.870671838283173,0.5726283641916395,0.49478486847755737,7.375886969805616,66.38298272825054,26.729113201570527,2.1685,6.753,30.1415,0.11349910125271108,0.005506886439721682,74.60125449347524,237.58499999999998,119.42,242.54000000000002,50
1,A,1,1,129,cav4081295,A_1,Test sample,9.5,1800,1.541,9.3,0.111,0.1878,0.1859,8.289402904787519,0.5970952124798279,8.725687268197388,0.6420378628815353,0.49478486847755737,8.230902399719831,74.07812159747849,26.729113201570527,2.1685,6.753,30.1415,0.11349910125271108,0.005506886439721682,74.60125449347524,237.58499999999998,119.42,242.54000000000002,50
1,A,2,3,59,cav4081290,A_2,Test sample,9.4,0,0.118,9.9,0.132,0.184,0.1859,0.6347498655190962,0.7100591715976331,0.6752658143820172,0.7172314864622557,0.49478486847755737,0.1804809459044598,1.6243285131401382,26.301222769374366,3.8907499999999997,18.6385,137.30075,0.08768252055784621,0.004213336874310729,83.04836352500834,216.29000000000002,125.205,258.83,50.95
1,A,2,3,59,cav4081290,A_2,Test sample,9.4,20,0.173,9.9,0.087,0.184,0.1859,0.9306078536847766,0.46799354491662176,0.9900083549838048,0.47272075244103207,0.49478486847755737,0.4952234865062474,4.457011378556227,26.301222769374366,3.8907499999999997,18.6385,137.30075,0.08768252055784621,0.004213336874310729,83.04836352500834,216.29000000000002,125.205,258.83,50.95
1,A,2,3,59,cav4081290,A_2,Test sample,9.4,60,0.31,9.9,0.086,0.184,0.1859,1.6675632060247443,0.46261430876815485,1.7740034106646216,0.46728718057389373,0.49478486847755737,1.2792185421870643,11.51296687968358,26.301222769374366,3.8907499999999997,18.6385,137.30075,0.08768252055784621,0.004213336874310729,83.04836352500834,216.29000000000002,125.205,258.83,50.95
1,A,2,3,59,cav4081290,A_2,Test sample,9.4,120,0.565,9.9,0.089,0.184,0.1859,3.039268423883808,0.47875201721355565,3.233264280727455,0.4835878961753087,0.49478486847755737,2.7384794122498977,24.64631471024908,26.301222769374366,3.8907499999999997,18.6385,137.30075,0.08768252055784621,0.004213336874310729,83.04836352500834,216.29000000000002,125.205,258.83,50.95
1,A,2,3,59,cav4081290,A_2,Test sample,9.4,180,0.727,9.9,0.088,0.184,0.1859,3.910704679935449,0.47337278106508873,4.160324127590902,0.4781543243081704,0.49478486847755737,3.665539259113345,32.989853332020104,26.301222769374366,3.8907499999999997,18.6385,137.30075,0.08768252055784621,0.004213336874310729,83.04836352500834,216.29000000000002,125.205,258.83,50.95
